"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Port Adelaide","Total participants"," 986 "," 3,135 "," 3,292 "," 3,383 "," 3,233 "," 3,139 "," 3,731 "," 3,886 "," 4,009 "," 3,531 "," 3,019 "," 2,244 "," 1,490 "," 1,096 "," 962 "," 41,136 "," 87,794 "
"Port Adelaide","Eligible participants"," 1,368 "," 4,802 "," 5,013 "," 5,198 "," 4,875 "," 4,627 "," 5,184 "," 5,117 "," 5,110 "," 4,233 "," 3,551 "," 2,574 "," 1,732 "," 1,297 "," 1,194 "," 55,875 "," 115,047 "
"Port Adelaide","Participation rate (%)"," 72.1 "," 65.3 "," 65.7 "," 65.1 "," 66.3 "," 67.8 "," 72.0 "," 75.9 "," 78.5 "," 83.4 "," 85.0 "," 87.2 "," 86.0 "," 84.5 "," 80.6 "," 73.6 "," 76.3 "
"Sturt","Total participants"," 988 "," 2,873 "," 2,621 "," 2,558 "," 2,610 "," 2,965 "," 3,438 "," 3,334 "," 3,391 "," 3,040 "," 2,957 "," 2,837 "," 2,181 "," 1,578 "," 1,486 "," 38,857 "," 85,215 "
"Sturt","Eligible participants"," 1,277 "," 3,870 "," 3,707 "," 3,651 "," 3,702 "," 4,016 "," 4,472 "," 4,279 "," 4,081 "," 3,537 "," 3,297 "," 3,129 "," 2,394 "," 1,765 "," 1,793 "," 48,970 "," 104,625 "
"Sturt","Participation rate (%)"," 77.4 "," 74.2 "," 70.7 "," 70.1 "," 70.5 "," 73.8 "," 76.9 "," 77.9 "," 83.1 "," 85.9 "," 89.7 "," 90.7 "," 91.1 "," 89.4 "," 82.9 "," 79.3 "," 81.4 "
"Wakefield","Total participants"," 965 "," 3,139 "," 2,997 "," 3,224 "," 2,782 "," 2,957 "," 3,497 "," 3,857 "," 4,066 "," 3,571 "," 3,148 "," 2,458 "," 1,777 "," 1,281 "," 909 "," 40,628 "," 86,553 "
"Wakefield","Eligible participants"," 1,339 "," 5,046 "," 4,988 "," 5,138 "," 4,372 "," 4,391 "," 4,940 "," 5,035 "," 5,049 "," 4,290 "," 3,615 "," 2,811 "," 2,001 "," 1,440 "," 1,119 "," 55,574 "," 114,355 "
"Wakefield","Participation rate (%)"," 72.1 "," 62.2 "," 60.1 "," 62.7 "," 63.6 "," 67.3 "," 70.8 "," 76.6 "," 80.5 "," 83.2 "," 87.1 "," 87.4 "," 88.8 "," 89.0 "," 81.2 "," 73.1 "," 75.7 "
"South Australia (Total)","Total participants"," 10,047 "," 30,633 "," 30,413 "," 30,942 "," 30,324 "," 32,205 "," 37,520 "," 38,582 "," 41,991 "," 40,204 "," 38,937 "," 32,590 "," 21,899 "," 14,885 "," 12,724 "," 443,903 "," 951,553 "
"South Australia (Total)","Eligible participants"," 13,325 "," 45,028 "," 45,450 "," 45,702 "," 44,072 "," 45,442 "," 50,700 "," 49,829 "," 51,409 "," 46,950 "," 43,934 "," 36,154 "," 24,340 "," 16,799 "," 15,305 "," 574,467 "," 1,193,580 "
"South Australia (Total)","Participation rate (%)"," 75.4 "," 68.0 "," 66.9 "," 67.7 "," 68.8 "," 70.9 "," 74.0 "," 77.4 "," 81.7 "," 85.6 "," 88.6 "," 90.1 "," 90.0 "," 88.6 "," 83.1 "," 77.3 "," 79.7 "
"Brand","Total participants"," 990 "," 2,851 "," 3,143 "," 3,314 "," 3,166 "," 2,986 "," 3,434 "," 3,347 "," 3,229 "," 2,574 "," 2,394 "," 2,079 "," 1,461 "," 913 "," 629 "," 36,510 "," 77,628 "
"Brand","Eligible participants"," 1,357 "," 4,573 "," 4,892 "," 5,128 "," 4,685 "," 4,382 "," 4,707 "," 4,320 "," 3,995 "," 3,131 "," 2,766 "," 2,335 "," 1,644 "," 1,057 "," 747 "," 49,719 "," 102,094 "
"Brand","Participation rate (%)"," 73.0 "," 62.3 "," 64.2 "," 64.6 "," 67.6 "," 68.1 "," 73.0 "," 77.5 "," 80.8 "," 82.2 "," 86.6 "," 89.0 "," 88.9 "," 86.4 "," 84.2 "," 73.4 "," 76.0 "
"Burt","Total participants"," 1,102 "," 2,978 "," 3,019 "," 3,552 "," 3,422 "," 3,093 "," 3,231 "," 3,135 "," 3,014 "," 2,832 "," 2,645 "," 1,995 "," 1,307 "," 796 "," 549 "," 36,670 "," 77,502 "
"Burt","Eligible participants"," 1,504 "," 4,526 "," 4,713 "," 5,329 "," 5,224 "," 4,525 "," 4,448 "," 4,107 "," 3,769 "," 3,409 "," 3,061 "," 2,246 "," 1,473 "," 894 "," 650 "," 49,878 "," 101,699 "
"Burt","Participation rate (%)"," 73.3 "," 65.8 "," 64.1 "," 66.7 "," 65.5 "," 68.4 "," 72.6 "," 76.3 "," 80.0 "," 83.1 "," 86.4 "," 88.8 "," 88.7 "," 89.0 "," 84.5 "," 73.5 "," 76.2 "
"Canning","Total participants"," 896 "," 2,356 "," 2,339 "," 2,439 "," 2,346 "," 2,470 "," 3,087 "," 3,283 "," 3,436 "," 3,341 "," 3,734 "," 3,386 "," 2,485 "," 1,446 "," 1,029 "," 38,073 "," 80,719 "
"Canning","Eligible participants"," 1,241 "," 3,685 "," 3,652 "," 3,747 "," 3,635 "," 3,669 "," 4,229 "," 4,275 "," 4,238 "," 4,007 "," 4,280 "," 3,768 "," 2,739 "," 1,622 "," 1,210 "," 49,997 "," 102,876 "
"Canning","Participation rate (%)"," 72.2 "," 63.9 "," 64.0 "," 65.1 "," 64.5 "," 67.3 "," 73.0 "," 76.8 "," 81.1 "," 83.4 "," 87.2 "," 89.9 "," 90.7 "," 89.1 "," 85.0 "," 76.2 "," 78.5 "
"Cowan","Total participants"," 1,103 "," 2,896 "," 2,755 "," 3,194 "," 3,235 "," 3,190 "," 3,399 "," 3,274 "," 3,102 "," 2,787 "," 2,519 "," 1,962 "," 1,229 "," 709 "," 490 "," 35,844 "," 75,647 "
"Cowan","Eligible participants"," 1,471 "," 4,197 "," 4,105 "," 4,620 "," 4,635 "," 4,419 "," 4,527 "," 4,246 "," 3,864 "," 3,345 "," 2,930 "," 2,228 "," 1,379 "," 815 "," 595 "," 47,376 "," 96,977 "
"Cowan","Participation rate (%)"," 75.0 "," 69.0 "," 67.1 "," 69.1 "," 69.8 "," 72.2 "," 75.1 "," 77.1 "," 80.3 "," 83.3 "," 86.0 "," 88.1 "," 89.1 "," 87.0 "," 82.4 "," 75.7 "," 78.0 "
"Curtin","Total participants"," 1,137 "," 3,026 "," 3,176 "," 2,821 "," 2,674 "," 2,880 "," 3,382 "," 3,309 "," 3,320 "," 3,131 "," 2,925 "," 2,397 "," 1,784 "," 1,224 "," 1,026 "," 38,212 "," 82,759 "
"Curtin","Eligible participants"," 1,395 "," 3,897 "," 4,192 "," 3,848 "," 3,553 "," 3,659 "," 4,198 "," 3,972 "," 3,887 "," 3,620 "," 3,300 "," 2,644 "," 1,966 "," 1,338 "," 1,195 "," 46,664 "," 98,465 "
"Curtin","Participation rate (%)"," 81.5 "," 77.6 "," 75.8 "," 73.3 "," 75.3 "," 78.7 "," 80.6 "," 83.3 "," 85.4 "," 86.5 "," 88.6 "," 90.7 "," 90.7 "," 91.5 "," 85.9 "," 81.9 "," 84.0 "
"Durack","Total participants"," 543 "," 1,613 "," 2,181 "," 2,589 "," 2,634 "," 2,715 "," 3,221 "," 3,188 "," 3,415 "," 3,133 "," 2,670 "," 1,940 "," 1,290 "," 764 "," 534 "," 32,439 "," 66,626 "
"Durack","Eligible participants"," 831 "," 3,162 "," 4,113 "," 4,643 "," 4,602 "," 4,688 "," 5,130 "," 4,764 "," 4,793 "," 4,033 "," 3,280 "," 2,310 "," 1,523 "," 896 "," 683 "," 49,533 "," 98,054 "
"Durack","Participation rate (%)"," 65.3 "," 51.0 "," 53.0 "," 55.8 "," 57.2 "," 57.9 "," 62.8 "," 66.9 "," 71.2 "," 77.7 "," 81.4 "," 84.0 "," 84.7 "," 85.3 "," 78.2 "," 65.5 "," 67.9 "
"Forrest","Total participants"," 875 "," 2,077 "," 2,100 "," 2,403 "," 2,804 "," 3,039 "," 3,399 "," 3,435 "," 3,608 "," 3,776 "," 3,669 "," 2,925 "," 1,882 "," 1,140 "," 841 "," 37,973 "," 81,122 "
"Forrest","Eligible participants"," 1,225 "," 3,371 "," 3,426 "," 3,728 "," 4,123 "," 4,366 "," 4,651 "," 4,468 "," 4,422 "," 4,444 "," 4,156 "," 3,240 "," 2,060 "," 1,250 "," 1,001 "," 49,931 "," 102,874 "
"Forrest","Participation rate (%)"," 71.4 "," 61.6 "," 61.3 "," 64.5 "," 68.0 "," 69.6 "," 73.1 "," 76.9 "," 81.6 "," 85.0 "," 88.3 "," 90.3 "," 91.4 "," 91.2 "," 84.0 "," 76.1 "," 78.9 "
"Fremantle","Total participants"," 1,000 "," 2,723 "," 3,022 "," 3,528 "," 3,511 "," 3,406 "," 3,576 "," 3,401 "," 3,357 "," 2,993 "," 2,669 "," 2,027 "," 1,464 "," 951 "," 661 "," 38,289 "," 82,336 "
"Fremantle","Eligible participants"," 1,264 "," 3,830 "," 4,308 "," 4,866 "," 4,790 "," 4,625 "," 4,711 "," 4,245 "," 4,111 "," 3,568 "," 3,093 "," 2,300 "," 1,649 "," 1,112 "," 794 "," 49,266 "," 102,214 "
"Fremantle","Participation rate (%)"," 79.1 "," 71.1 "," 70.1 "," 72.5 "," 73.3 "," 73.6 "," 75.9 "," 80.1 "," 81.7 "," 83.9 "," 86.3 "," 88.1 "," 88.8 "," 85.5 "," 83.2 "," 77.7 "," 80.6 "
"Hasluck","Total participants"," 1,052 "," 2,603 "," 2,428 "," 2,785 "," 2,784 "," 2,927 "," 3,297 "," 3,252 "," 3,425 "," 3,063 "," 3,055 "," 2,493 "," 1,647 "," 997 "," 751 "," 36,559 "," 76,946 "
"Hasluck","Eligible participants"," 1,379 "," 3,811 "," 3,653 "," 4,071 "," 4,035 "," 4,010 "," 4,430 "," 4,146 "," 4,145 "," 3,622 "," 3,511 "," 2,784 "," 1,837 "," 1,123 "," 873 "," 47,430 "," 96,516 "
"Hasluck","Participation rate (%)"," 76.3 "," 68.3 "," 66.5 "," 68.4 "," 69.0 "," 73.0 "," 74.4 "," 78.4 "," 82.6 "," 84.6 "," 87.0 "," 89.5 "," 89.7 "," 88.8 "," 86.0 "," 77.1 "," 79.7 "
"Moore","Total participants"," 1,271 "," 3,305 "," 2,671 "," 2,576 "," 2,698 "," 3,094 "," 3,791 "," 3,716 "," 4,057 "," 3,777 "," 3,404 "," 2,405 "," 1,266 "," 712 "," 619 "," 39,362 "," 83,575 "
"Moore","Eligible participants"," 1,582 "," 4,512 "," 3,796 "," 3,577 "," 3,606 "," 4,019 "," 4,748 "," 4,538 "," 4,831 "," 4,342 "," 3,782 "," 2,635 "," 1,389 "," 789 "," 711 "," 48,857 "," 100,491 "
"Moore","Participation rate (%)"," 80.3 "," 73.2 "," 70.4 "," 72.0 "," 74.8 "," 77.0 "," 79.8 "," 81.9 "," 84.0 "," 87.0 "," 90.0 "," 91.3 "," 91.1 "," 90.2 "," 87.1 "," 80.6 "," 83.2 "
"O'Connor","Total participants"," 807 "," 1,946 "," 2,100 "," 2,294 "," 2,256 "," 2,579 "," 3,219 "," 3,509 "," 4,041 "," 3,923 "," 3,812 "," 2,972 "," 2,005 "," 1,179 "," 874 "," 37,516 "," 77,775 "
"O'Connor","Eligible participants"," 1,132 "," 3,436 "," 3,590 "," 3,737 "," 3,685 "," 3,975 "," 4,632 "," 4,748 "," 5,077 "," 4,731 "," 4,391 "," 3,367 "," 2,277 "," 1,375 "," 1,039 "," 51,192 "," 102,700 "
"O'Connor","Participation rate (%)"," 71.3 "," 56.6 "," 58.5 "," 61.4 "," 61.2 "," 64.9 "," 69.5 "," 73.9 "," 79.6 "," 82.9 "," 86.8 "," 88.3 "," 88.1 "," 85.7 "," 84.1 "," 73.3 "," 75.7 "
"Pearce","Total participants"," 1,136 "," 3,079 "," 3,205 "," 3,617 "," 3,414 "," 3,472 "," 3,857 "," 3,736 "," 3,324 "," 2,820 "," 2,774 "," 2,277 "," 1,490 "," 916 "," 537 "," 39,654 "," 85,213 "
"Pearce","Eligible participants"," 1,541 "," 4,754 "," 5,170 "," 5,488 "," 5,049 "," 4,997 "," 5,379 "," 4,863 "," 4,155 "," 3,413 "," 3,203 "," 2,581 "," 1,664 "," 1,026 "," 627 "," 53,910 "," 111,614 "
"Pearce","Participation rate (%)"," 73.7 "," 64.8 "," 62.0 "," 65.9 "," 67.6 "," 69.5 "," 71.7 "," 76.8 "," 80.0 "," 82.6 "," 86.6 "," 88.2 "," 89.5 "," 89.3 "," 85.6 "," 73.6 "," 76.3 "
"Perth","Total participants"," 728 "," 2,647 "," 3,471 "," 4,132 "," 3,757 "," 3,189 "," 3,358 "," 3,170 "," 3,160 "," 2,973 "," 2,696 "," 2,010 "," 1,382 "," 942 "," 781 "," 38,396 "," 80,654 "
"Perth","Eligible participants"," 936 "," 3,632 "," 4,802 "," 5,730 "," 5,114 "," 4,281 "," 4,377 "," 3,998 "," 3,896 "," 3,531 "," 3,140 "," 2,293 "," 1,590 "," 1,088 "," 967 "," 49,375 "," 100,133 "
"Perth","Participation rate (%)"," 77.8 "," 72.9 "," 72.3 "," 72.1 "," 73.5 "," 74.5 "," 76.7 "," 79.3 "," 81.1 "," 84.2 "," 85.9 "," 87.7 "," 86.9 "," 86.6 "," 80.8 "," 77.8 "," 80.5 "
"Stirling","Total participants"," 745 "," 2,391 "," 2,698 "," 3,354 "," 3,135 "," 3,011 "," 3,124 "," 2,894 "," 3,036 "," 2,777 "," 2,582 "," 2,179 "," 1,741 "," 1,215 "," 959 "," 35,841 "," 77,475 "
"Stirling","Eligible participants"," 1,035 "," 3,485 "," 4,085 "," 5,037 "," 4,551 "," 4,177 "," 4,238 "," 3,713 "," 3,794 "," 3,347 "," 3,031 "," 2,474 "," 1,976 "," 1,360 "," 1,160 "," 47,463 "," 98,820 "
"Stirling","Participation rate (%)"," 72.0 "," 68.6 "," 66.0 "," 66.6 "," 68.9 "," 72.1 "," 73.7 "," 77.9 "," 80.0 "," 83.0 "," 85.2 "," 88.1 "," 88.1 "," 89.3 "," 82.7 "," 75.5 "," 78.4 "
"Swan","Total participants"," 829 "," 3,059 "," 3,402 "," 3,522 "," 3,233 "," 2,802 "," 3,048 "," 2,831 "," 3,019 "," 2,793 "," 2,602 "," 1,887 "," 1,342 "," 926 "," 831 "," 36,126 "," 76,108 "
"Swan","Eligible participants"," 1,134 "," 4,490 "," 5,146 "," 5,356 "," 4,691 "," 3,981 "," 4,083 "," 3,659 "," 3,730 "," 3,384 "," 2,993 "," 2,173 "," 1,543 "," 1,064 "," 1,009 "," 48,436 "," 97,965 "
"Swan","Participation rate (%)"," 73.1 "," 68.1 "," 66.1 "," 65.8 "," 68.9 "," 70.4 "," 74.7 "," 77.4 "," 80.9 "," 82.5 "," 86.9 "," 86.8 "," 87.0 "," 87.0 "," 82.4 "," 74.6 "," 77.7 "
"Tangney","Total participants"," 1,146 "," 3,098 "," 2,460 "," 2,160 "," 2,326 "," 2,637 "," 3,117 "," 3,175 "," 3,350 "," 3,408 "," 3,208 "," 2,550 "," 1,649 "," 1,148 "," 1,158 "," 36,590 "," 78,602 "
"Tangney","Eligible participants"," 1,452 "," 4,098 "," 3,349 "," 2,971 "," 3,057 "," 3,425 "," 3,902 "," 3,850 "," 3,923 "," 3,899 "," 3,587 "," 2,783 "," 1,791 "," 1,257 "," 1,327 "," 44,671 "," 93,528 "
"Tangney","Participation rate (%)"," 78.9 "," 75.6 "," 73.5 "," 72.7 "," 76.1 "," 77.0 "," 79.9 "," 82.5 "," 85.4 "," 87.4 "," 89.4 "," 91.6 "," 92.1 "," 91.3 "," 87.3 "," 81.9 "," 84.0 "
"Western Australia (Total)","Total participants"," 15,360 "," 42,648 "," 44,170 "," 48,280 "," 47,395 "," 47,490 "," 53,540 "," 52,655 "," 53,893 "," 50,101 "," 47,358 "," 37,484 "," 25,424 "," 15,978 "," 12,269 "," 594,054 "," 1,260,687 "
"Western Australia (Total)","Eligible participants"," 20,479 "," 63,459 "," 66,992 "," 71,876 "," 69,035 "," 67,198 "," 72,390 "," 67,912 "," 66,630 "," 59,826 "," 54,504 "," 42,161 "," 28,500 "," 18,066 "," 14,588 "," 783,698 "," 1,607,020 "
"Western Australia (Total)","Participation rate (%)"," 75.0 "," 67.2 "," 65.9 "," 67.2 "," 68.7 "," 70.7 "," 74.0 "," 77.5 "," 80.9 "," 83.7 "," 86.9 "," 88.9 "," 89.2 "," 88.4 "," 84.1 "," 75.8 "," 78.4 "
"Bass","Total participants"," 727 "," 2,028 "," 1,750 "," 1,742 "," 1,755 "," 1,845 "," 2,284 "," 2,347 "," 2,710 "," 2,542 "," 2,432 "," 2,117 "," 1,405 "," 880 "," 734 "," 27,298 "," 58,904 "
"Bass","Eligible participants"," 1,008 "," 3,144 "," 2,745 "," 2,592 "," 2,553 "," 2,639 "," 3,089 "," 3,042 "," 3,281 "," 2,948 "," 2,765 "," 2,360 "," 1,550 "," 993 "," 853 "," 35,562 "," 74,391 "
"Bass","Participation rate (%)"," 72.1 "," 64.5 "," 63.8 "," 67.2 "," 68.7 "," 69.9 "," 73.9 "," 77.2 "," 82.6 "," 86.2 "," 88.0 "," 89.7 "," 90.6 "," 88.6 "," 86.0 "," 76.8 "," 79.2 "
"Braddon","Total participants"," 607 "," 1,564 "," 1,393 "," 1,442 "," 1,425 "," 1,659 "," 2,040 "," 2,316 "," 2,715 "," 2,666 "," 2,680 "," 2,303 "," 1,610 "," 984 "," 681 "," 26,085 "," 55,781 "
"Braddon","Eligible participants"," 868 "," 2,692 "," 2,437 "," 2,357 "," 2,383 "," 2,575 "," 2,985 "," 3,115 "," 3,420 "," 3,159 "," 3,029 "," 2,589 "," 1,789 "," 1,097 "," 824 "," 35,319 "," 73,413 "
"Braddon","Participation rate (%)"," 69.9 "," 58.1 "," 57.2 "," 61.2 "," 59.8 "," 64.4 "," 68.3 "," 74.3 "," 79.4 "," 84.4 "," 88.5 "," 89.0 "," 90.0 "," 89.7 "," 82.6 "," 73.9 "," 76.0 "
"Denison","Total participants"," 696 "," 2,173 "," 2,160 "," 2,188 "," 2,006 "," 2,081 "," 2,480 "," 2,338 "," 2,605 "," 2,468 "," 2,274 "," 1,789 "," 1,303 "," 821 "," 777 "," 28,159 "," 61,164 "
"Denison","Eligible participants"," 877 "," 3,048 "," 3,068 "," 2,945 "," 2,649 "," 2,728 "," 3,097 "," 2,906 "," 3,143 "," 2,918 "," 2,579 "," 2,015 "," 1,454 "," 908 "," 919 "," 35,254 "," 74,256 "
"Denison","Participation rate (%)"," 79.4 "," 71.3 "," 70.4 "," 74.3 "," 75.7 "," 76.3 "," 80.1 "," 80.5 "," 82.9 "," 84.6 "," 88.2 "," 88.8 "," 89.6 "," 90.4 "," 84.5 "," 79.9 "," 82.4 "
"Franklin","Total participants"," 720 "," 1,842 "," 1,771 "," 2,037 "," 2,019 "," 2,224 "," 2,527 "," 2,446 "," 2,964 "," 2,969 "," 2,867 "," 2,380 "," 1,567 "," 954 "," 750 "," 30,037 "," 65,231 "
"Franklin","Eligible participants"," 935 "," 2,574 "," 2,537 "," 2,734 "," 2,753 "," 2,917 "," 3,253 "," 3,051 "," 3,532 "," 3,403 "," 3,229 "," 2,585 "," 1,717 "," 1,062 "," 879 "," 37,161 "," 78,836 "
"Franklin","Participation rate (%)"," 77.0 "," 71.6 "," 69.8 "," 74.5 "," 73.3 "," 76.2 "," 77.7 "," 80.2 "," 83.9 "," 87.2 "," 88.8 "," 92.1 "," 91.3 "," 89.8 "," 85.3 "," 80.8 "," 82.7 "
"Lyons","Total participants"," 548 "," 1,549 "," 1,423 "," 1,390 "," 1,508 "," 1,817 "," 2,365 "," 2,638 "," 3,264 "," 3,388 "," 3,490 "," 2,803 "," 1,668 "," 981 "," 595 "," 29,427 "," 61,328 "
"Lyons","Eligible participants"," 786 "," 2,446 "," 2,299 "," 2,309 "," 2,424 "," 2,738 "," 3,263 "," 3,458 "," 4,099 "," 3,973 "," 4,003 "," 3,130 "," 1,897 "," 1,104 "," 722 "," 38,651 "," 78,532 "
"Lyons","Participation rate (%)"," 69.7 "," 63.3 "," 61.9 "," 60.2 "," 62.2 "," 66.4 "," 72.5 "," 76.3 "," 79.6 "," 85.3 "," 87.2 "," 89.6 "," 87.9 "," 88.9 "," 82.4 "," 76.1 "," 78.1 "
"Tasmania (Total)","Total participants"," 3,298 "," 9,156 "," 8,497 "," 8,799 "," 8,713 "," 9,626 "," 11,696 "," 12,085 "," 14,258 "," 14,033 "," 13,743 "," 11,392 "," 7,553 "," 4,620 "," 3,537 "," 141,006 "," 302,408 "
"Tasmania (Total)","Eligible participants"," 4,474 "," 13,904 "," 13,086 "," 12,937 "," 12,762 "," 13,597 "," 15,687 "," 15,572 "," 17,475 "," 16,401 "," 15,605 "," 12,679 "," 8,407 "," 5,164 "," 4,197 "," 181,947 "," 379,428 "
"Tasmania (Total)","Participation rate (%)"," 73.7 "," 65.9 "," 64.9 "," 68.0 "," 68.3 "," 70.8 "," 74.6 "," 77.6 "," 81.6 "," 85.6 "," 88.1 "," 89.8 "," 89.8 "," 89.5 "," 84.3 "," 77.5 "," 79.7 "
"Lingiari(c)","Total participants"," 292 "," 1,058 "," 1,465 "," 1,653 "," 1,515 "," 1,516 "," 1,710 "," 1,730 "," 1,753 "," 1,574 "," 1,137 "," 680 "," 399 "," 132 "," 97 "," 16,728 "," 35,030 "
"Lingiari(c)","Eligible participants"," 572 "," 2,910 "," 3,789 "," 3,996 "," 3,607 "," 3,506 "," 3,645 "," 3,331 "," 2,960 "," 2,456 "," 1,715 "," 1,047 "," 569 "," 215 "," 158 "," 34,536 "," 69,884 "
"Lingiari(c)","Participation rate (%)"," 51.0 "," 36.4 "," 38.7 "," 41.4 "," 42.0 "," 43.2 "," 46.9 "," 51.9 "," 59.2 "," 64.1 "," 66.3 "," 64.9 "," 70.1 "," 61.4 "," 61.4 "," 48.4 "," 50.1 "
"Solomon","Total participants"," 442 "," 1,461 "," 2,066 "," 2,357 "," 2,188 "," 2,057 "," 2,224 "," 2,108 "," 2,134 "," 1,772 "," 1,465 "," 969 "," 620 "," 255 "," 151 "," 22,269 "," 45,575 "
"Solomon","Eligible participants"," 750 "," 2,991 "," 3,994 "," 4,155 "," 3,634 "," 3,398 "," 3,427 "," 3,066 "," 2,931 "," 2,355 "," 1,900 "," 1,233 "," 762 "," 321 "," 195 "," 35,112 "," 68,217 "
"Solomon","Participation rate (%)"," 58.9 "," 48.8 "," 51.7 "," 56.7 "," 60.2 "," 60.5 "," 64.9 "," 68.8 "," 72.8 "," 75.2 "," 77.1 "," 78.6 "," 81.4 "," 79.4 "," 77.4 "," 63.4 "," 66.8 "
"Northern Territory (Total)","Total participants"," 734 "," 2,519 "," 3,531 "," 4,010 "," 3,703 "," 3,573 "," 3,934 "," 3,838 "," 3,887 "," 3,346 "," 2,602 "," 1,649 "," 1,019 "," 387 "," 248 "," 38,997 "," 80,605 "
"Northern Territory (Total)","Eligible participants"," 1,322 "," 5,901 "," 7,783 "," 8,151 "," 7,241 "," 6,904 "," 7,072 "," 6,397 "," 5,891 "," 4,811 "," 3,615 "," 2,280 "," 1,331 "," 536 "," 353 "," 69,648 "," 138,101 "
"Northern Territory (Total)","Participation rate (%)"," 55.5 "," 42.7 "," 45.4 "," 49.2 "," 51.1 "," 51.8 "," 55.6 "," 60.0 "," 66.0 "," 69.5 "," 72.0 "," 72.3 "," 76.6 "," 72.2 "," 70.3 "," 56.0 "," 58.4 "
"Canberra(d)","Total participants"," 1,764 "," 4,789 "," 4,817 "," 4,973 "," 4,626 "," 4,453 "," 5,074 "," 4,826 "," 5,169 "," 4,394 "," 4,104 "," 3,177 "," 2,075 "," 1,269 "," 1,049 "," 56,559 "," 121,232 "
"Canberra(d)","Eligible participants"," 2,260 "," 6,471 "," 6,448 "," 6,509 "," 5,983 "," 5,805 "," 6,302 "," 5,902 "," 6,044 "," 5,057 "," 4,581 "," 3,502 "," 2,310 "," 1,419 "," 1,266 "," 69,859 "," 145,631 "
"Canberra(d)","Participation rate (%)"," 78.1 "," 74.0 "," 74.7 "," 76.4 "," 77.3 "," 76.7 "," 80.5 "," 81.8 "," 85.5 "," 86.9 "," 89.6 "," 90.7 "," 89.8 "," 89.4 "," 82.9 "," 81.0 "," 83.2 "
"Fenner(e)","Total participants"," 1,477 "," 4,687 "," 5,178 "," 5,786 "," 6,025 "," 5,463 "," 5,191 "," 4,208 "," 3,948 "," 3,465 "," 3,164 "," 2,499 "," 1,542 "," 990 "," 810 "," 54,433 "," 116,281 "
"Fenner(e)","Eligible participants"," 1,904 "," 6,354 "," 7,121 "," 7,822 "," 7,960 "," 7,155 "," 6,480 "," 5,206 "," 4,692 "," 3,945 "," 3,544 "," 2,749 "," 1,698 "," 1,126 "," 972 "," 68,728 "," 142,477 "
"Fenner(e)","Participation rate (%)"," 77.6 "," 73.8 "," 72.7 "," 74.0 "," 75.7 "," 76.4 "," 80.1 "," 80.8 "," 84.1 "," 87.8 "," 89.3 "," 90.9 "," 90.8 "," 87.9 "," 83.3 "," 79.2 "," 81.6 "
"Australian Capital Territory (Total)","Total participants"," 3,241 "," 9,476 "," 9,995 "," 10,759 "," 10,651 "," 9,916 "," 10,265 "," 9,034 "," 9,117 "," 7,859 "," 7,268 "," 5,676 "," 3,617 "," 2,259 "," 1,859 "," 110,992 "," 237,513 "
"Australian Capital Territory (Total)","Eligible participants"," 4,164 "," 12,825 "," 13,569 "," 14,331 "," 13,943 "," 12,960 "," 12,782 "," 11,108 "," 10,736 "," 9,002 "," 8,125 "," 6,251 "," 4,008 "," 2,545 "," 2,238 "," 138,587 "," 288,108 "
"Australian Capital Territory (Total)","Participation rate (%)"," 77.8 "," 73.9 "," 73.7 "," 75.1 "," 76.4 "," 76.5 "," 80.3 "," 81.3 "," 84.9 "," 87.3 "," 89.5 "," 90.8 "," 90.2 "," 88.8 "," 83.1 "," 80.1 "," 82.4 "
"Australia Total ","Total participants"," 151,297 "," 438,166 "," 441,658 "," 460,548 "," 462,206 "," 479,360 "," 524,620 "," 517,693 "," 543,449 "," 506,799 "," 478,991 "," 395,546 "," 268,885 "," 172,098 "," 138,816 "," 5,980,168 "," 12,727,920 "
"Australia Total ","Eligible participants"," 201,439 "," 635,909 "," 646,916 "," 665,250 "," 656,446 "," 660,841 "," 693,850 "," 659,150 "," 664,720 "," 597,386 "," 546,682 "," 442,900 "," 300,933 "," 195,848 "," 167,520 "," 7,735,966 "," 16,006,180 "
"Australia Total ","Participation rate (%)"," 75.1 "," 68.9 "," 68.3 "," 69.2 "," 70.4 "," 72.5 "," 75.6 "," 78.5 "," 81.8 "," 84.8 "," 87.6 "," 89.3 "," 89.4 "," 87.9 "," 82.9 "," 77.3 "," 79.5 "
"Banks","Total participants"," 1,102 "," 3,098 "," 2,918 "," 2,895 "," 2,982 "," 3,172 "," 3,477 "," 3,523 "," 3,764 "," 3,297 "," 2,851 "," 2,366 "," 1,636 "," 1,352 "," 1,247 "," 39,680 "," 84,326 "
"Banks","Eligible participants"," 1,431 "," 4,224 "," 4,036 "," 4,188 "," 4,197 "," 4,239 "," 4,419 "," 4,471 "," 4,621 "," 3,948 "," 3,257 "," 2,631 "," 1,836 "," 1,531 "," 1,499 "," 50,528 "," 105,254 "
